Nome Popular;Nome Científico;Estrato Agroflorestal;Ciclo de Vida;Duração;Tempo de Colheita (Aprox.);Sequência (Papel);Parceiras (do Dataset);Partes Utilizadas;Principais Usos Culinários e Tradicionais;Destaques Nutricionais / Compostos;Status de Conservação (IUCN/ICMBio);Informações de Plantio, Cultivo e Safra
Mandioca / Macaxeira;Manihot esculenta;Médio;Longo (12+ meses);Anual/Bienal;12-18 meses;Secundária;Jambu, Chicória, Vinagreira (cobertura), Cará, Ora-pro-nóbis (linhas);Raiz (tubérculo);Farinha, Tucupi (base para tacacá, pato no tucupi), Goma (tapioca), Beiju. Mandioca 'doce' (macaxeira) cozida. [2, 3, 4, 5, 1, 6];Base calórica, 'Mandioca brava' contém ácido cianídrico (tóxica), exige processamento. [2, 1, 6];NE (Não Avaliado);Plantio principal em nov/dez. Ramas maduras para plantio a partir de maio. Colheita 12 meses após o plantio.
Cará / Cará-roxo;Dioscorea trifida;Médio (Trepadeira);Longo (8-12 meses);Anual;8-12 meses;Secundária;Mandioca, Ora-pro-nóbis (como tutor), Jambu (cobertura);Tubérculo;Cozido, base de subsistência. [7, 8, 1, 9];Mantido por agricultura familiar, pilar da subsistência. [7, 1];LC (Pouco Preocupante) / NE (Não Avaliado) [7, 10, 1];Informação não disponível.
Taioba;Xanthosoma spp.;Baixo (Tolera sombra);Médio / Perene;Perene (manejo);Contínua (folhas, após 3-4 meses);Secundária/Clímax (sub-bosque);Açaí, Patauá, Cupuaçu, Abiu (qualquer planta alta que dê sombra);Folhas, Rizomas (tubérculos);Folhas refogadas (substitui couve), Rizomas cozidos (substitui batata). [11, 12, 13, 14, 15, 1, 16, 17, 18];PANC. Exige identificação correta (diferente do Caladium tóxico). [15, 1];NE (Não Avaliado);Informação não disponível.
Açaí;Euterpe oleracea;Alto (Palmeira);Perene;Perene;Ano 3-5 (frutos);Clímax;Taioba, Cupuaçu, Cupuí, Puxuri, Jambu (sombra);Fruto (polpa);'Vinho de açaí' (polpa batida), sorvetes, picolés. [19, 1];Alta energia, Potássio (291mg/100g). [20, 1];LC (Pouco Preocupante) [21, 22, 1, 23];Pico de safra (colheita) em terra firme no Amazonas ocorre entre fevereiro e junho.
Patauá;Oenocarpus bataua;Alto (Palmeira);Perene;Perene;Ano 8-12 (frutos);Clímax;Taioba, Cupuaçu, Cupuí, Puxuri (sub-bosque);Fruto (polpa), Óleo;'Vinho' similar ao açaí, Óleo (comparado ao azeite de oliva). [19, 24, 25, 26, 27, 28, 1];Alto teor calórico (317,2 kcal/100g polpa), Óleo rico em Ácido Oleico. [25, 26, 27, 1];NE (Não Avaliado);Primeira colheita (safra) ocorre entre 12 a 15 anos após o plantio. [24]
Tucumã;Astrocaryum aculeatum / A. vulgare;Alto (Palmeira);Perene;Perene;Ano 4-6 (frutos);Clímax;Açaí, Patauá (outras palmeiras), Taioba (sub-bosque);Polpa (fruto), Amêndoa (semente);Polpa consumida in natura (ex: sanduíche), Óleo da amêndoa.;Polpa rica em Vitamina A, Amêndoa rica em Ácido Láurico (≥ 50%). [29, 30, 1];NE (Não Avaliado);Semear em viveiros; transplantar mudas com 30 cm de altura. Colheita manual quando os frutos estão maduros.
Bacaba;Oenocarpus bacaba;Alto (Palmeira);Perene;Perene;Ano 5-7 (frutos);Clímax;Açaí, Patauá, Taioba (sub-bosque);Fruto (polpa);'Vinho' energético, consumido com farinha. [31, 32, 19, 30, 1];Fonte vital de proteína e carboidratos, 100% de importância relativa no baixo Tapajós. [32, 30, 1];NE (Não Avaliado);Safra (disponível para consumo) ocorre principalmente de fevereiro a agosto (estação chuvosa). [31, 32]
Inajá;Maximiliana maripa;Alto (Palmeira);Perene;Perene;Ano 4-6 (frutos);Pioneira/Secundária;Mandioca, Cará (ajuda a iniciar o sistema);Fruto;Usos alimentares documentados. [19, 1];Informação não disponível.;NE (Não Avaliado);Informação não disponível.
Buriti;Mauritia flexuosa;Alto (Palmeira, áreas alagadas);Perene;Perene;Ano 6-8 (frutos);Clímax (Áreas Úmidas);Nenhuma (requer ambiente específico, alagado);Fruto;Usos alimentares documentados. [19, 1];Informação não disponível.;NE (Não Avaliado);Informação não disponível.
Castanha-do-pará;Bertholletia excelsa;Emergente (Gigante);Perene (Longo Prazo);Perene (longo);Ano 12-15+;Clímax (Emergente);Todo o sistema (requer biodiversidade total: Cupuaçu, Bacuri, Açaí, Puxuri);Amêndoa (semente);Consumida in natura, óleo, 'leite' de castanha.;Fonte mais rica de Selênio; Rica em lipídios (67,5%) e minerais (Magnésio, Fósforo). [33, 34, 35, 1];VU (Vulnerável) [33, 1, 36, 37];A safra (colheita/coleta) inicia-se em fevereiro. O plantio é feito por mudas vigorosas.
Cupuaçu;Theobroma grandiflorum;Médio/Alto (Árvore);Perene;Perene;Ano 2-3 (frutos);Secundária/Clímax;Açaí (sombra mútua), Taioba (sub-bosque), Puxuri (sombra);Polpa (fruto), Semente;Polpa para sucos, sorvetes, cremes; Semente para 'Cupulate' (similar ao chocolate).;Fruta nacional do Brasil; Polpa (100g) contém Potássio (291mg) e Vitamina C (10,5mg). [38, 1];NE (Não Avaliado);Safra (frutificação) ocorre no período chuvoso (outubro a junho), com pico de fevereiro a março. Semeadura deve ser feita logo após o despolpamento.
